name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
3FHL J0509.4+0542,PointSource,77.36362134,5.706592033,,9.0244E-15,,,,
3FHL J0103.5+5337,PointSource,15.8874147,53.63129517,,1.9939E-15,,,,
3FHL J0113.5+4948,PointSource,18.3819713,49.81145418,,1.6775E-15,,,,
3FHL J0102.8+4838,PointSource,15.70266986,48.64120231,,2.34179E-15,,,,
3FHL J0106.5+4856,PointSource,16.64542724,48.94371404,,3.89853E-15,,,,
3FHL J1216.0-0242,PointSource,184.0193078,-2.713768098,,8.25777E-16,,,,
3FHL J1218.0-0028,PointSource,184.5195363,-0.478238634,,1.7141E-15,,,,
3FHL J1218.7-0121,PointSource,184.6904901,-1.356471817,,2.81475E-15,,,,
3FHL J1219.7-0312,PointSource,184.9271442,-3.212921937,,1.16763E-15,,,,
3FHL J1229.2+0201,PointSource,187.3038401,2.02499299,,3.20606E-15,,,,
3FHL J1233.7-0145,PointSource,188.4301039,-1.750680466,,1.61212E-15,,,,
3FHL J2249.6-5943,PointSource,342.4189695,-59.73195292,,1.15852E-15,,,,
3FHL J2258.6-5525,PointSource,344.6722751,-55.42170804,,3.33705E-16,,,,
3FHL J1719.1+0654,PointSource,259.7859473,6.906384033,,2.68171E-15,,,,
3FHL J1719.3+1206,PointSource,259.8271952,12.1001619,,7.70402E-16,,,,
3FHL J1722.7+1014,PointSource,260.6863625,10.24132786,,1.33969E-15,,,,
3FHL J1725.0+1152,PointSource,261.2737248,11.87750374,,8.95745E-15,,,,
3FHL J0809.8+5218,PointSource,122.4586022,52.31039338,,1.00948E-14,,,,
3FHL J0816.4+5739,PointSource,124.1090504,57.66443552,,1.12236E-15,,,,
3FHL J0333.8+7849,PointSource,53.46925538,78.82921535,,1.9845E-15,,,,
3FHL J0353.4+8256,PointSource,58.37077636,82.94658533,,1.27696E-16,,,,
3FHL J1146.9+3957,PointSource,176.7439448,39.96660322,,5.04975E-15,,,,
3FHL J1150.5+4154,PointSource,177.6497085,41.90661008,,7.51249E-15,,,,
3FHL J1154.0+4038,PointSource,178.5221527,40.63903444,,5.51679E-16,,,,
3FHL J0117.7-2109,PointSource,19.44259279,-21.15040129,,2.35398E-15,,,,
3FHL J0118.9-2141,PointSource,19.73240625,-21.69710342,,4.43087E-15,,,,
3FHL J0123.6-2309,PointSource,20.91024713,-23.16270181,,7.67243E-16,,,,
3FHL J1834.1-0706e,DiffuseSource,278.531,-7.11,0.21365,8.52188E-15,,,,
3FHL J1836.5-0651e,DiffuseSource,279.143,-6.866,0.534769,2.59277E-14,,,,
3FHL J1838.9-0704e,DiffuseSource,279.745,-7.067,0.52347,7.1925E-15,,,,
3FHL J1834.5-0846e,DiffuseSource,278.64,-8.78,0.23,9.20761E-15,,,,
3FHL J1207.8-2228,PointSource,181.9502664,-22.48085602,,1.72658E-15,,,,
3FHL J1212.1-2328,PointSource,183.0255481,-23.47675346,,1.21057E-15,,,,
3FHL J1213.2-2618,PointSource,183.3165168,-26.3033642,,1.15593E-15,,,,
3FHL J1220.1-2459,PointSource,185.047209,-24.98515726,,8.77896E-16,,,,
3FHL J1635.2+3808,PointSource,248.8232272,38.13928852,,1.91695E-14,,,,
3FHL J1640.6+3945,PointSource,250.1550371,39.76262961,,5.57987E-15,,,,
3FHL J1642.9+3948,PointSource,250.7349041,39.81490626,,1.1737E-15,,,,
3FHL J1652.7+4024,PointSource,253.1941026,40.40338869,,8.95458E-16,,,,
3FHL J1653.8+3945,PointSource,253.4711052,39.75818577,,4.37773E-14,,,,
3FHL J1703.6-6212,PointSource,255.9093799,-62.21537292,,3.76027E-15,,,,
3FHL J1733.7-6056,PointSource,263.4326351,-60.93793014,,1.32136E-15,,,,
3FHL J1744.5-5713,PointSource,266.141529,-57.21670946,,2.29462E-16,,,,
3FHL J0338.1-2443,PointSource,54.53976475,-24.73014548,,3.44911E-16,,,,
3FHL J0340.6-2120,PointSource,55.16956597,-21.33446277,,6.34424E-16,,,,
3FHL J0345.1-2353,PointSource,56.29580639,-23.89064065,,1.03611E-15,,,,
3FHL J1158.8+0938,PointSource,179.7028758,9.637882425,,1.64251E-15,,,,
3FHL J0851.9-4620e,DiffuseSource,132.987,-46.342,0.977762,1.21389E-14,,,,
3FHL J0833.1-4511e,DiffuseSource,128.287,-45.1901,0.91,5.36506E-15,,,,
3FHL J0835.3-4510,PointSource,128.837,-45.1752,,1.71709E-12,,,,
3FHL J0240.5+6113,PointSource,40.13879099,61.22494486,,2.29169E-14,,,,
3FHL J0331.9+6307,PointSource,52.98293993,63.1199724,,1.98591E-15,,,,
3FHL J0133.1-4533,PointSource,23.29604171,-45.55151234,,6.05948E-16,,,,
3FHL J0156.9-4744,PointSource,29.22977948,-47.74933036,,1.6101E-15,,,,
3FHL J1404.9+0401,PointSource,211.2331194,4.028957847,,5.88935E-16,,,,
3FHL J1418.4-0233,PointSource,214.608226,-2.56164795,,1.06804E-14,,,,
3FHL J0148.6+0127,PointSource,27.16674391,1.460660554,,1.78055E-15,,,,
3FHL J0152.6+0147,PointSource,28.17214779,1.785664255,,2.0862E-15,,,,
3FHL J1631.6-4756e,DiffuseSource,247.922,-47.94,0.256225,1.17836E-15,,,,
3FHL J1633.0-4746e,DiffuseSource,248.259,-47.77,0.610368,2.71048E-14,,,,
3FHL J1636.3-4731e,DiffuseSource,249.079,-47.523,0.138744,1.64536E-14,,,,
3FHL J1652.2-4633e,DiffuseSource,253.055,-46.556,0.717564,1.30709E-14,,,,
3FHL J1655.5-4737e,DiffuseSource,253.883,-47.632,0.334401,3.45832E-15,,,,
3FHL J1640.6-4633,PointSource,250.1528749,-46.55840609,,3.30819E-15,,,,
3FHL J1641.1-4619,PointSource,250.2777756,-46.32727928,,2.96777E-15,,,,
3FHL J1648.5-4610,PointSource,252.1458261,-46.17928733,,1.80037E-14,,,,
3FHL J0333.7+2916,PointSource,53.4382035,29.26993103,,3.44414E-15,,,,
3FHL J0409.4+3201,PointSource,62.36821052,32.0330856,,6.67546E-16,,,,
3FHL J1912.1-0802,PointSource,288.027448,-8.049654488,,1.31983E-15,,,,
3FHL J2052.5+0810,PointSource,313.1357783,8.17367046,,3.52977E-16,,,,
3FHL J2112.7+0819,PointSource,318.1802241,8.31794855,,2.00691E-15,,,,
3FHL J2115.2+1218,PointSource,318.8113492,12.30804499,,2.54359E-16,,,,
3FHL J1047.9-3738,PointSource,161.9831936,-37.64484279,,3.3005E-16,,,,
3FHL J1052.9-3743,PointSource,163.235566,-37.73040159,,1.84638E-15,,,,
3FHL J1057.6-4051,PointSource,164.4060925,-40.85521073,,6.48824E-16,,,,
3FHL J1106.5-3646,PointSource,166.6405149,-36.77442007,,6.24389E-16,,,,
3FHL J0003.3-5248,PointSource,0.830024655,-52.81499812,,7.5065E-16,,,,
3FHL J0427.2+5533e,DiffuseSource,66.815,55.554,1.51457,5.64804E-15,,,,
3FHL J0451.9+5720,PointSource,72.99082643,57.3452253,,9.29865E-16,,,,
3FHL J0702.6-1950,PointSource,105.6601385,-19.8456387,,3.92801E-15,,,,
3FHL J0709.1-1525,PointSource,107.2988696,-15.43226,,6.74949E-16,,,,
3FHL J1250.9-4944,PointSource,192.7388078,-49.73652423,,2.30386E-15,,,,
3FHL J1305.4-4927,PointSource,196.3583813,-49.46118994,,9.43993E-16,,,,
3FHL J1327.0-5256,PointSource,201.7511204,-52.93399592,,2.22124E-15,,,,
3FHL J1328.9-5607,PointSource,202.2347953,-56.12136979,,3.15374E-15,,,,
3FHL J1131.6+5809,PointSource,172.906203,58.16561562,,1.06066E-15,,,,
3FHL J0822.1-4253e,DiffuseSource,125.544,-42.889,0.443067,1.67997E-14,,,,
3FHL J2030.5-1439,PointSource,307.6327219,-14.66056411,,1.96812E-15,,,,
3FHL J2039.0-1046,PointSource,309.7533198,-10.77761989,,5.34412E-15,,,,
3FHL J0013.8-1855,PointSource,3.468433912,-18.91690128,,9.45569E-16,,,,
3FHL J0022.1-1855,PointSource,5.525983138,-18.9170129,,1.25532E-15,,,,
3FHL J0030.2-1648,PointSource,7.57259698,-16.80019421,,8.68791E-16,,,,
3FHL J0033.5-1921,PointSource,8.392931174,-19.3574822,,8.36331E-15,,,,
3FHL J0041.7-1608,PointSource,10.441792,-16.1401871,,6.14628E-16,,,,
3FHL J0950.6+6357,PointSource,147.6642662,63.96585263,,8.36748E-16,,,,
3FHL J0958.7+6533,PointSource,149.6934756,65.56520346,,3.97858E-15,,,,
3FHL J1032.8+6625,PointSource,158.2063355,66.41893684,,7.53126E-16,,,,
3FHL J1001.2+2910,PointSource,150.3133559,29.17053808,,1.80792E-15,,,,
3FHL J1006.9+3455,PointSource,151.7499441,34.92112422,,7.42439E-16,,,,
3FHL J2236.3+2826,PointSource,339.0757517,28.44833586,,2.65568E-15,,,,
3FHL J0847.2+1134,PointSource,131.8077892,11.56671627,,1.59525E-15,,,,
3FHL J2247.5-0000,PointSource,341.8890388,-0.009342221,,1.94124E-15,,,,
3FHL J0248.6+5132,PointSource,42.16500074,51.54551263,,5.98685E-15,,,,
3FHL J0303.5+4716,PointSource,45.88968203,47.2706453,,2.82871E-15,,,,
3FHL J0307.4+4916,PointSource,46.85774346,49.26884516,,4.4893E-15,,,,
3FHL J0127.3-0821,PointSource,21.83113952,-8.357434941,,1.28147E-15,,,,
3FHL J0141.4-0928,PointSource,25.3547187,-9.468482027,,3.08037E-15,,,,
3FHL J1002.6+2216,PointSource,150.659957,22.27243756,,3.48762E-16,,,,
3FHL J1018.1+1906,PointSource,154.5390968,19.10311068,,9.73678E-16,,,,
3FHL J0319.2-7045,PointSource,49.82227581,-70.75258245,,8.14941E-16,,,,
3FHL J0353.0-6832,PointSource,58.26234369,-68.53503267,,6.47568E-16,,,,
3FHL J0427.5-6705,PointSource,66.8967665,-67.0968348,,1.45268E-15,,,,
3FHL J1803.1-6709,PointSource,270.7943996,-67.16366564,,4.04334E-15,,,,
3FHL J1849.3-6448,PointSource,282.3376955,-64.80659802,,1.24731E-15,,,,
3FHL J1902.8-6748,PointSource,285.7085981,-67.80073726,,4.24278E-15,,,,
3FHL J0611.7+2803,PointSource,92.92889241,28.05132982,,1.69768E-15,,,,
3FHL J0620.6+2645,PointSource,95.162822,26.75213902,,4.9769E-16,,,,
3FHL J0622.9+3326,PointSource,95.73636471,33.43947276,,4.1294E-15,,,,
3FHL J0623.3+3045,PointSource,95.83211977,30.75617223,,1.94003E-15,,,,
3FHL J1904.1+3627,PointSource,286.0357217,36.45155741,,8.8005E-16,,,,
