name,RA,Dec,Error,l,b,x,y
GRB 101123952,135.16,1.91,3.6,,,,
GRB 101014175,27.206,-50.819,1,,,,
GRB 100826957,279.593,-22.128,1.2,,,,
GRB 100728095,88.758375,-15.255667,1.39E-04,,,,
GRB 100724029,119.599,75.8562,0.88,,,,
GRB 100620119,86.98,-50.96,0.71,,,,
GRB 100414097,192.12483,8.6930306,1.39E-04,,,,
GRB 100325275,330.24,-26.47,0.9,,,,
GRB 100225115,310.3,-59.4,0.9,,,,
GRB 100116897,305.01,14.43,0.17,,,,
GRB 091208410,29.392208,16.889722,0,,,,
GRB 091031500,71.4,-57.7,0.24,,,,
GRB 091003191,251.5198,36.6247,4.72E-04,,,,
GRB 090926181,353.400154,-66.324067,3.06E-05,,,,
GRB 090902462,264.93921,27.324194,1.39E-04,,,,
GRB 090720710,203.68054,-10.334694,1.39E-04,,,,
GRB 090626189,170.01,-33.5,0.32,,,,
GRB 090531775,252.07479,-36.035,9.44E-04,,,,
GRB 090510016,333.553,-26.584111,1.11E-04,,,,
GRB 090328401,90.665292,-41.881611,6.94E-05,,,,
GRB 090323002,190.70955,17.053306,1.39E-05,,,,
GRB 090227772,10.48,29.24,1,,,,
GRB 090217206,204.83,-8.42,0.35,,,,
GRB 081024891,322.95,21.2,0.22,,,,
GRB 081006604,136.43,-62.1,0.52,,,,
GRB 080916009,119.84717,-56.638333,1.39E-04,,,,
GRB 080825593,233.95,-4.55,0.77,,,,
