name,RA,Dec,l,b,x,y
0FGL?J0948.3+0019,147.075,0.316666667,,,,
0FGL?J1855.9+0126,283.9833333,1.433611111,,,,
0FGL?J1057.8+0138,164.45,1.635,,,,
0FGL?J0909.7+0145,137.4458333,1.751111111,,,,
0FGL?J0217.8+0146,34.46666667,1.766944444,,,,
0FGL?J1229.1+0202,187.2875,2.035277778,,,,
0FGL?J1900.0+0356,285.0083333,3.935555556,,,,
0FGL?J0030.3+0450,7.6,4.835833333,,,,
0FGL?J1015.9+0515,153.9916667,5.250555556,,,,
0FGL?J1907.5+0602,286.8958333,6.033333333,,,,
0FGL?J2017.2+0602,304.3,6.035833333,,,,
0FGL?J1830.3+0617,277.5833333,6.283888889,,,,
0FGL?J0633.5+0634,98.3875,6.568611111,,,,
0FGL?J0100.2+0750,15.05,7.835,,,,
0FGL?J0643.2+0858,100.825,8.983333333,,,,
0FGL?J1911.0+0905,287.7625,9.083888889,,,,
0FGL?J2147.1+0931,326.775,9.516944444,,,,
0FGL?J1751.5+0935,267.8916667,9.584722222,,,,
0FGL?J2327.3+0947,351.8333333,9.785,,,,
0FGL?J1504.4+1030,226.1166667,10.50083333,,,,
0FGL?J0631.8+1034,97.95416667,10.56722222,,,,
0FGL?J1555.8+1110,238.95,11.16916667,,,,
0FGL?J2232.4+1141,338.1166667,11.68444444,,,,
0FGL?J1553.4+1255,238.3666667,12.9175,,,,
0FGL?J0531.0+1331,82.7625,13.51861111,,,,
0FGL?J1923.0+1411,290.7666667,14.18472222,,,,
0FGL?J2254.0+1609,343.5,16.15027778,,,,
0FGL?J0238.6+1636,39.6625,16.60222222,,,,
0FGL?J2203.2+1731,330.8166667,17.51916667,,,,
0FGL?J0738.2+1738,114.575,17.63333333,,,,
0FGL?J2143.2+1741,325.8083333,17.68416667,,,,
0FGL?J0634.0+1745,98.50416667,17.75166667,,,,
0FGL?J1719.3+1746,259.8291667,17.76694444,,,,
0FGL?J0714.2+1934,108.55,19.56777778,,,,
0FGL?J0855.4+2009,133.8583333,20.15194444,,,,
0FGL?J0534.6+2201,83.65416667,22.0175,,,,
0FGL?J1054.5+2212,163.625,22.2025,,,,
0FGL?J0617.4+2234,94.35416667,22.56694444,,,,
0FGL?J0112.1+2247,18.03333333,22.78444444,,,,
0FGL?J1427.1+2347,216.7958333,23.78361111,,,,
0FGL?J1012.9+2435,153.2416667,24.58583333,,,,
0FGL?J2055.5+2540,313.8958333,25.66777778,,,,
0FGL?J0144.5+2709,26.14166667,27.15138889,,,,
0FGL?J1221.7+2814,185.4375,28.235,,,,
0FGL?J1954.4+2838,298.6125,28.63583333,,,,
0FGL?J1958.1+2848,299.5291667,28.80055556,,,,
0FGL?J0238.4+2855,39.6,28.91777778,,,,
0FGL?J1159.2+2912,179.8,29.21666667,,,,
0FGL?J2214.8+3002,333.7041667,30.03583333,,,,
0FGL?J1218.0+3006,184.5166667,30.10138889,,,,
0FGL?J2157.5+3125,329.3833333,31.41916667,,,,
0FGL?J1522.2+3143,230.55,31.71833333,,,,
0FGL?J0357.5+3205,59.3875,32.08333333,,,,
0FGL?J1310.6+3220,197.6541667,32.33416667,,,,
0FGL?J1847.8+3223,281.9541667,32.38361111,,,,
0FGL?J1953.2+3249,298.325,32.81694444,,,,
0FGL?J0719.4+3302,109.8708333,33.03388889,,,,
0FGL?J2027.5+3334,306.8833333,33.56777778,,,,
0FGL?J0220.9+3607,35.24166667,36.1175,,,,
0FGL?J2020.8+3649,305.225,36.81888889,,,,
0FGL?J1635.2+3809,248.8208333,38.15138889,,,,
0FGL?J1104.5+3811,166.1375,38.18388889,,,,
0FGL?J0136.6+3903,24.1625,39.06666667,,,,
0FGL?J1641.4+3939,250.3541667,39.66666667,,,,
0FGL?J1653.9+3946,253.4916667,39.76666667,,,,
0FGL?J2325.3+3959,351.3333333,39.985,,,,
0FGL?J2021.5+4026,305.4,40.43416667,,,,
0FGL?J2032.2+4122,308.0583333,41.36833333,,,,
0FGL?J0320.0+4131,50,41.51777778,,,,
0FGL?J2202.4+4217,330.6208333,42.28583333,,,,
0FGL?J0818.3+4222,124.5791667,42.36666667,,,,
0FGL?J0222.6+4302,35.65416667,43.035,,,,
0FGL?J2001.0+4352,300.2708333,43.8675,,,,
0FGL?J0921.2+4437,140.3208333,44.61666667,,,,
0FGL?J2302.9+4443,345.7458333,44.71777778,,,,
0FGL?J0654.3+4513,103.5916667,45.21722222,,,,
0FGL?J2110.8+4608,317.7,46.13388889,,,,
0FGL?J0137.1+4751,24.2875,47.85055556,,,,
0FGL?J1053.7+4926,163.4416667,49.43583333,,,,
0FGL?J1015.2+4927,153.8083333,49.45222222,,,,
0FGL?J0712.9+5034,108.2291667,50.56805556,,,,
0FGL?J0654.3+5042,103.5916667,50.70194444,,,,
0FGL?J1333.3+5058,203.3291667,50.96777778,,,,
0FGL?J1253.4+5300,193.3708333,53.00027778,,,,
0FGL?J0957.6+5522,149.425,55.36805556,,,,
0FGL?J0824.9+5551,126.2375,55.85138889,,,,
0FGL?J1058.9+5629,164.7291667,56.48416667,,,,
0FGL?J1248.7+5811,192.1875,58.18472222,,,,
0FGL?J1836.2+5924,279.0541667,59.40111111,,,,
0FGL?J0036.7+5951,9.175,59.85055556,,,,
0FGL?J1034.0+6051,158.5041667,60.85055556,,,,
0FGL?J0240.3+6113,40.09583333,61.21805556,,,,
0FGL?J2229.0+6114,337.2583333,61.23444444,,,,
0FGL?J1543.1+6130,235.7833333,61.50055556,,,,
0FGL?J2000.2+6506,300.0541667,65.10083333,,,,
0FGL?J1849.4+6706,282.3666667,67.10027778,,,,
0FGL?J0507.9+6739,76.98333333,67.65,,,,
0FGL?J0722.0+7120,110.5083333,71.33583333,,,,
0FGL?J0007.4+7303,1.85,73.0525,,,,
0FGL?J1802.2+7827,270.5666667,78.46666667,,,,
