name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
2FGL J1010.8-0158,PointSource,152.7190704,-1.971674323,,2.96E-13,,,,
2FGL J0607.5-0618c,PointSource,91.8813858,-6.305924416,,1.17E-11,,,,
2FGL J0608.0-0836,PointSource,92.0153939,-8.611014332,,3.76E-12,,,,
2FGL J0858.0-4815,PointSource,134.5051727,-48.26122284,,1.76E-11,,,,
2FGL J0901.7-4655,PointSource,135.4286499,-46.92080688,,7.47E-12,,,,
2FGL J0902.8-4741c,PointSource,135.7095184,-47.69583511,,1.45E-12,,,,
2FGL J0904.0-4823c,PointSource,136.0142517,-48.39439774,,8.51E-13,,,,
2FGL J0907.9-4716c,PointSource,136.988739,-47.27271271,,2.27E-12,,,,
2FGL J0846.7-4053,PointSource,131.6955109,-40.89796448,,3.58E-12,,,,
2FGL J1544.5-1126,PointSource,236.1385544,-11.44601033,,1.90E-12,,,,
2FGL J1549.7-0657,PointSource,237.431839,-6.964740753,,2.87E-13,,,,
2FGL J0946.5+1015,PointSource,146.6483917,10.25855923,,6.49E-12,,,,
2FGL J0910.4-5050,PointSource,137.6030273,-50.8466835,,4.59E-11,,,,
2FGL J0922.2-5214c,PointSource,140.557724,-52.24416351,,3.16E-11,,,,
2FGL J1010.7-5643c,PointSource,152.690979,-56.72673798,,1.48E-11,,,,
2FGL J1019.0-5856,PointSource,154.7594527,-58.9416298,,2.46E-11,,,,
2FGL J1020.0-6029,PointSource,155.006073,-60.49678802,,7.61E-12,,,,
2FGL J1030.4-6015,PointSource,157.609726,-60.25469208,,3.13E-11,,,,
2FGL J1016.5-5858,PointSource,154.1251984,-58.97328949,,1.60E-12,,,,
2FGL J1033.5-5032,PointSource,158.3752193,-50.54848629,,3.29E-14,,,,
2FGL J0004.2+2208,PointSource,1.055686951,22.13651657,,1.69E-12,,,,
2FGL J0018.5+2945,PointSource,4.633054733,29.76018715,,3.50E-15,,,,
2FGL J1036.4-5828c,PointSource,159.112915,-58.48128128,,4.45E-13,,,,
2FGL J1038.6-5850c,PointSource,159.6548767,-58.8402977,,1.83E-13,,,,
2FGL J1045.0-5941,PointSource,161.2511597,-59.69197083,,8.10E-12,,,,
2FGL J1046.8-6005c,PointSource,161.706665,-60.08585739,,1.22E-13,,,,
2FGL J1023.5-5749c,PointSource,155.8761291,-57.83183289,,1.36E-13,,,,
2FGL J1027.4-5730c,PointSource,156.8643036,-57.51099777,,9.33E-12,,,,
2FGL J1022.7-5741,PointSource,155.6751251,-57.69918442,,9.78E-12,,,,
2FGL J1028.5-5819,PointSource,157.1268329,-58.33195883,,3.49E-11,,,,
2FGL J0332.5-1118,PointSource,53.13218583,-11.30498132,,1.31E-12,,,,
2FGL J1057.1+7001,PointSource,164.2840424,70.01714325,,6.75E-12,,,,
2FGL J1110.2+7134,PointSource,167.5572662,71.57997894,,5.36E-14,,,,
2FGL J1118.9-6027c,PointSource,169.7364655,-60.46570206,,8.06E-12,,,,
2FGL J1125.0-5821,PointSource,171.2721863,-58.36115646,,2.17E-13,,,,
2FGL J1124.6-5913,PointSource,171.1745758,-59.22180939,,2.49E-11,,,,
2FGL J0848.1-0703,PointSource,132.028,-7.053,,5.61E-14,,,,
2FGL J0850.2-1212,PointSource,132.5512848,-12.21605492,,2.11E-11,,,,
2FGL J0855.1-0712,PointSource,133.789444,-7.210961342,,2.17E-12,,,,
2FGL J0856.6-1105,PointSource,134.1733093,-11.09573555,,2.13E-12,,,,
2FGL J0906.2-0906,PointSource,136.571155,-9.114167265,,2.16E-13,,,,
2FGL J2112.3-4832,PointSource,318.0879822,-48.5415802,,4.90E-12,,,,
2FGL J2131.0-5417,PointSource,322.7717896,-54.29095459,,1.38E-11,,,,
2FGL J2135.6-4959,PointSource,323.9186401,-49.99216461,,9.85E-12,,,,
2FGL J1255.8-5828,PointSource,193.9641418,-58.47163391,,3.59E-12,,,,
2FGL J1306.2-6044,PointSource,196.5674438,-60.74016953,,3.33E-12,,,,
2FGL J1317.2-6304,PointSource,199.310318,-63.07793427,,8.18E-12,,,,
2FGL J1329.7-6108,PointSource,202.4347229,-61.14243698,,1.16E-12,,,,
2FGL J1050.3-5922c,PointSource,162.5940094,-59.37003708,,2.17E-12,,,,
2FGL J1048.2-5831,PointSource,162.0696716,-58.52987671,,3.37E-11,,,,
2FGL J0252.7-2218,PointSource,43.19523767,-22.31279262,,7.84E-11,,,,
2FGL J0303.4-2407,PointSource,45.86774445,-24.1281395,,5.05E-12,,,,
2FGL J0304.5-2836,PointSource,46.14195251,-28.60592651,,1.93E-14,,,,
2FGL J0315.8-2611,PointSource,48.97304916,-26.185215,,1.28E-13,,,,
2FGL J1324.0-4330e,DiffuseSource,201,-43.5,2.5,5.12E-11,,,,
