name,type,RA,Dec,Flux_Density,l,b,x,y
1FGL J2243.1-2541,PointSource,340.7877,-25.685,4.43E-12,,,,
1FGL J2250.8-2809,PointSource,342.7175,-28.1634,8.11E-12,,,,
1FGL J2258.0-2757,PointSource,344.503,-27.9534,1.35E-11,,,,
1FGL J2227.7-3036,PointSource,336.9258,-30.6063,1.09E-13,,,,
1FGL J1635.4+8228,PointSource,248.8538,82.4704,5.03E-12,,,,
1FGL J1800.4+7827,PointSource,270.1246,78.4664,8.01E-12,,,,
1FGL J1536.6+8200,PointSource,234.1541,82.0116,4.08E-14,,,,
1FGL J1809.6+2908,PointSource,272.4185,29.1435,2.36E-13,,,,
1FGL J1813.4+3141,PointSource,273.3554,31.694,1.60E-12,,,,
1FGL J1817.0+2519,PointSource,274.2664,25.3274,4.43E-12,,,,
1FGL J1841.9+3220,PointSource,280.4774,32.3406,4.44E-13,,,,
1FGL J1848.5+3224,PointSource,282.1387,32.4004,1.49E-11,,,,
1FGL J1836.3+3135,PointSource,279.0764,31.5891,4.62E-13,,,,
1FGL J0949.8+1757,PointSource,147.4524,17.9549,1.30E-12,,,,
1FGL J0956.9+2513,PointSource,149.2356,25.2219,2.33E-12,,,,
1FGL J1012.7+2440,PointSource,153.1806,24.6692,8.74E-12,,,,
1FGL J1209.7+1806,PointSource,182.445,18.1004,1.10E-12,,,,
1FGL J1224.7+2121,PointSource,186.1988,21.3634,2.22E-11,,,,
1FGL J0505.2+0420,PointSource,76.3067,4.3435,1.86E-12,,,,
1FGL J0457.9+0649,PointSource,74.4772,6.8244,4.11E-12,,,,
1FGL J0509.3+0540,PointSource,77.3446,5.6746,3.68E-12,,,,
1FGL J1643.5-0646,PointSource,250.8888,-6.7802,1.92E-12,,,,
1FGL J1653.6-0158,PointSource,253.421,-1.9762,1.13E-11,,,,
1FGL J0000.9-0745,PointSource,0.2362,-7.7632,1.18E-12,,,,
1FGL J0017.4-0510,PointSource,4.372,-5.1816,2.74E-11,,,,
1FGL J0017.7-0019,PointSource,4.4289,-0.3263,8.64E-12,,,,
1FGL J0034.3-0534,PointSource,8.591,-5.5768,3.92E-12,,,,
1FGL J0605.1+0005,PointSource,91.2965,0.0966,7.71E-14,,,,
1FGL J0625.7+0001,PointSource,96.4336,0.03,4.24E-15,,,,
1FGL J0609.3-0244,PointSource,92.347,-2.7438,1.40E-13,,,,
1FGL J0613.7-0200,PointSource,93.4332,-2.0131,7.81E-12,,,,
1FGL J0407.4-3827,PointSource,61.8664,-38.4566,1.05E-11,,,,
1FGL J0428.6-3756,PointSource,67.1567,-37.9412,7.61E-11,,,,
1FGL J1649.3-4501c,PointSource,252.3408,-45.0311,5.61E-12,,,,
1FGL J1648.4-4609c,PointSource,252.1108,-46.1601,4.40E-12,,,,
