name,type,RA,Dec,Flux_Density,l,b,x,y
1FGL J1902.0-5110,PointSource,285.5221,-51.17,2.56E-12,,,,
1FGL J1911.1-5306,PointSource,287.7946,-53.1095,9.10E-13,,,,
1FGL J0214.1+6020,PointSource,33.5468,60.3447,1.31E-13,,,,
1FGL J0224.0+6201c,PointSource,36.0076,62.0168,8.95E-12,,,,
1FGL J0251.5+5634,PointSource,42.8852,56.5809,5.42E-12,,,,
1FGL J0240.5+6113,PointSource,40.1319,61.2293,1.91E-10,,,,
1FGL J0259.9+5925,PointSource,44.9855,59.4206,9.44E-13,,,,
1FGL J0248.3+6021,PointSource,42.0777,60.3595,3.75E-12,,,,
1FGL J1354.9-1041,PointSource,208.7253,-10.6907,1.00E-11,,,,
1FGL J1408.9-0751,PointSource,212.2315,-7.8502,7.89E-12,,,,
1FGL J1416.2-1001,PointSource,214.0728,-10.0308,4.31E-12,,,,
1FGL J1418.3-0235,PointSource,214.5982,-2.5892,3.52E-13,,,,
1FGL J1407.5-0944,PointSource,211.8894,-9.7423,3.33E-13,,,,
1FGL J1625.7-2524,PointSource,246.4278,-25.4165,7.51E-12,,,,
1FGL J1625.8-2429c,PointSource,246.4745,-24.4973,2.26E-12,,,,
1FGL J1623.5-2345c,PointSource,245.8919,-23.7529,2.04E-12,,,,
1FGL J1628.6-2419c,PointSource,247.1635,-24.3298,3.49E-13,,,,
1FGL J0045.3+2127,PointSource,11.3406,21.4605,2.81E-13,,,,
1FGL J0048.0+2232,PointSource,12.0023,22.5405,4.87E-12,,,,
1FGL J0038.6+2048,PointSource,9.6624,20.8028,2.06E-14,,,,
1FGL J0041.9+2318,PointSource,10.4836,23.305,1.86E-12,,,,
1FGL J0059.6+1904,PointSource,14.9094,19.0777,1.10E-12,,,,
1FGL J1726.2-0724,PointSource,261.561,-7.4051,4.63E-12,,,,
1FGL J1733.0-1308,PointSource,263.2681,-13.1398,8.54E-12,,,,
1FGL J1735.4-1118,PointSource,263.87,-11.314,1.15E-13,,,,
1FGL J1735.1-0729,PointSource,263.7816,-7.4973,2.44E-12,,,,
1FGL J1745.6-0751,PointSource,266.4244,-7.8533,5.75E-14,,,,
1FGL J1744.4-1134,PointSource,266.1225,-11.5819,2.05E-11,,,,
1FGL J0449.5-4350,PointSource,72.3783,-43.8384,9.15E-12,,,,
1FGL J0455.6-4618,PointSource,73.9236,-46.31,1.29E-11,,,,
1FGL J0515.6-4404,PointSource,78.9021,-44.0776,6.28E-12,,,,
1FGL J0437.2-4715,PointSource,69.3159,-47.2524,1.58E-11,,,,
1FGL J1103.7-2329,PointSource,165.9445,-23.49,4.77E-15,,,,
1FGL J1110.2-1839,PointSource,167.5594,-18.6658,2.67E-13,,,,
1FGL J1119.9-2205,PointSource,169.9922,-22.0887,4.86E-12,,,,
1FGL J1126.8-1854,PointSource,171.7143,-18.9125,1.67E-11,,,,
1FGL J1106.2-1752,PointSource,166.5616,-17.8793,3.95E-14,,,,
1FGL J1110.3-1622,PointSource,167.5872,-16.3703,1.21E-13,,,,
1FGL J0900.5+3410,PointSource,135.1358,34.169,4.14E-13,,,,
1FGL J0910.7+3332,PointSource,137.6801,33.535,1.58E-12,,,,
1FGL J0912.6+2756,PointSource,138.1539,27.9362,2.98E-15,,,,
1FGL J0915.7+2931,PointSource,138.9413,29.532,7.69E-13,,,,
1FGL J0924.2+2812,PointSource,141.0574,28.202,5.43E-12,,,,
1FGL J0941.2+2722,PointSource,145.302,27.3726,2.09E-12,,,,
1FGL J1258.7-2221,PointSource,194.68,-22.3579,7.27E-12,,,,
1FGL J1312.4-2156,PointSource,198.1243,-21.9441,2.94E-12,,,,
1FGL J1301.5-2046,PointSource,195.3781,-20.7794,1.08E-13,,,,
1FGL J1505.0+0328,PointSource,226.2701,3.4728,1.48E-11,,,,
1FGL J1512.3+0201,PointSource,228.0891,2.0274,3.98E-12,,,,
1FGL J1454.6+5125,PointSource,223.6578,51.4248,9.20E-13,,,,
1FGL J1509.4+5602,PointSource,227.3501,56.0439,1.14E-12,,,,
1FGL J1515.5+5448,PointSource,228.8913,54.8036,6.36E-15,,,,
1FGL J1451.0+5204,PointSource,222.7679,52.0685,6.28E-13,,,,
1FGL J1222.5+0415,PointSource,185.6383,4.2666,1.04E-11,,,,
1FGL J1229.1+0203,PointSource,187.2755,2.0524,3.17E-10,,,,
1FGL J1233.6-0146,PointSource,188.4249,-1.7796,4.35E-13,,,,
1FGL J0823.3-4248,PointSource,125.8465,-42.8096,1.43E-12,,,,
1FGL J0841.9-4620,PointSource,130.4861,-46.3445,3.57E-13,,,,
1FGL J0835.3-4510,PointSource,128.8359,-45.1763,3.67E-09,,,,
1FGL J1159.4-2149,PointSource,179.8716,-21.821,2.21E-11,,,,
1FGL J1205.9-2637,PointSource,181.4871,-26.6332,1.24E-11,,,,
1FGL J1214.4-2305,PointSource,183.6028,-23.0966,3.43E-12,,,,
1FGL J1805.2-2137c,PointSource,271.3108,-21.6262,3.26E-12,,,,
1FGL J1806.8-2109c,PointSource,271.7146,-21.164,3.08E-12,,,,
1FGL J1808.5-1954c,PointSource,272.1334,-19.9047,9.16E-12,,,,
1FGL J1810.9-1905c,PointSource,272.7483,-19.0846,3.62E-12,,,,
1FGL J1803.1-2147c,PointSource,270.7987,-21.7911,5.12E-12,,,,
1FGL J1811.3-1959c,PointSource,272.8291,-19.9923,6.11E-14,,,,
1FGL J0842.2+7054,PointSource,130.5664,70.9016,3.66E-11,,,,
1FGL J0648.7-1740,PointSource,102.1878,-17.6701,6.76E-12,,,,
1FGL J0650.6-1635,PointSource,102.6719,-16.5922,2.34E-12,,,,
1FGL J1931.2+0939,PointSource,292.8105,9.654,2.58E-13,,,,
1FGL J1942.7+1033,PointSource,295.6885,10.5602,2.67E-13,,,,
1FGL J1950.4+1226,PointSource,297.6249,12.4341,7.89E-12,,,,
1FGL J1954.8+1402,PointSource,298.7174,14.0456,1.34E-12,,,,
1FGL J1933.3+0723,PointSource,293.346,7.3996,6.10E-13,,,,
1FGL J1950.0+0904,PointSource,297.5211,9.0726,6.46E-14,,,,
1FGL J0256.1+0323,PointSource,44.042,3.3843,7.08E-13,,,,
1FGL J0308.3+0403,PointSource,47.0847,4.0604,6.60E-14,,,,
1FGL J0312.6+0131,PointSource,48.1538,1.5333,3.94E-12,,,,
1FGL J0318.1+0254,PointSource,49.5377,2.9148,4.83E-13,,,,
1FGL J0323.7-0106,PointSource,50.9456,-1.1043,2.63E-14,,,,
1FGL J0326.2+0222,PointSource,51.5665,2.3766,6.71E-13,,,,
1FGL J2039.4-5621,PointSource,309.8726,-56.3536,5.79E-12,,,,
1FGL J0154.1+0823,PointSource,28.5313,8.3943,6.50E-13,,,,
1FGL J0159.5+1047,PointSource,29.8938,10.7957,4.23E-13,,,,
1FGL J0202.1+0849,PointSource,30.5265,8.83,1.31E-13,,,,
1FGL J2323.4+5849,PointSource,350.8615,58.823,6.06E-13,,,,
1FGL J0844.0+5314,PointSource,131.0069,53.2396,1.64E-13,,,,
1FGL J0849.9+4852,PointSource,132.4869,48.8831,4.65E-12,,,,
1FGL J1824.5-2449,PointSource,276.1371,-24.8292,1.30E-12,,,,
1FGL J1829.3-2423,PointSource,277.3273,-24.3837,4.34E-14,,,,
1FGL J1809.8-2332,PointSource,272.4592,-23.5397,7.30E-11,,,,
1FGL J1422.7+3743,PointSource,215.689,37.7259,3.09E-12,,,,
1FGL J1425.0+3614,PointSource,216.2684,36.2461,1.55E-13,,,,
1FGL J1426.0+3403,PointSource,216.5151,34.0595,1.39E-13,,,,
1FGL J1438.7+3711,PointSource,219.683,37.1857,9.48E-13,,,,
1FGL J1447.9+3608,PointSource,221.988,36.1487,4.52E-13,,,,
1FGL J1505.8+3725,PointSource,226.4538,37.4305,6.47E-12,,,,
1FGL J1439.2+3930,PointSource,219.81,39.5048,6.88E-14,,,,
1FGL J0806.2+6148,PointSource,121.552,61.8077,1.70E-11,,,,
1FGL J0815.0+6434,PointSource,123.7729,64.5687,2.38E-12,,,,
1FGL J0843.4+6718,PointSource,130.8689,67.3154,6.93E-13,,,,
1FGL J0849.3+6607,PointSource,132.3328,66.1321,1.38E-13,,,,
1FGL J0051.4-6242,PointSource,12.8732,-62.7065,2.01E-13,,,,
1FGL J0101.0-6423,PointSource,15.2624,-64.3959,1.69E-12,,,,
1FGL J1842.9-0359c,PointSource,280.7299,-3.989,3.21E-12,,,,
1FGL J1844.3-0309c,PointSource,281.0903,-3.157,1.07E-12,,,,
1FGL J1846.8-0233c,PointSource,281.7001,-2.5628,2.14E-12,,,,
1FGL J1848.1-0145c,PointSource,282.047,-1.7605,5.42E-12,,,,
1FGL J1849.7-0121c,PointSource,282.4263,-1.3607,4.69E-13,,,,
1FGL J1849.0-0055c,PointSource,282.2708,-0.9258,1.06E-12,,,,
1FGL J1850.2-0019c,PointSource,282.554,-0.3289,1.55E-12,,,,
1FGL J1844.2-0342c,PointSource,281.0637,-3.7128,1.34E-12,,,,
1FGL J1136.0-6226c,PointSource,174.0198,-62.4341,8.28E-13,,,,
1FGL J1134.8-6055,PointSource,173.719,-60.9319,5.95E-12,,,,
1FGL J1207.4-6239,PointSource,181.8746,-62.655,7.33E-12,,,,
1FGL J1213.7-6240c,PointSource,183.4467,-62.6742,3.67E-12,,,,
1FGL J1127.7-6244c,PointSource,171.9337,-62.7411,6.11E-13,,,,
1FGL J0940.2-7605,PointSource,145.0511,-76.0944,1.76E-11,,,,
1FGL J1028.7-8543,PointSource,157.1925,-85.7274,3.66E-12,,,,
1FGL J1058.1-8006,PointSource,164.5479,-80.1147,6.12E-12,,,,
1FGL J1055.6-7611,PointSource,163.9067,-76.184,8.83E-12,,,,
1FGL J1153.4-8108,PointSource,178.3699,-81.1471,2.14E-12,,,,
1FGL J1849.6-4314,PointSource,282.4035,-43.2372,1.05E-12,,,,
1FGL J1903.8-3718c,PointSource,285.9668,-37.3088,2.07E-12,,,,
1FGL J1918.4-4108,PointSource,289.6222,-41.1407,6.10E-13,,,,
1FGL J1938.2-3957,PointSource,294.5667,-39.9606,1.12E-11,,,,
1FGL J1925.4-3811,PointSource,291.3618,-38.1897,4.35E-13,,,,
1FGL J0559.2-7500,PointSource,89.8033,-75.0128,3.00E-12,,,,
1FGL J0636.1-7521,PointSource,99.0438,-75.3523,5.10E-12,,,,
1FGL J0734.1-7715,PointSource,113.5463,-77.2592,1.80E-11,,,,
1FGL J0811.1-7527,PointSource,122.7827,-75.4659,3.12E-13,,,,
1FGL J1827.9-1128c,PointSource,276.9967,-11.4769,4.76E-12,,,,
1FGL J1834.3-0842c,PointSource,278.5796,-8.7101,1.10E-11,,,,
1FGL J1834.7-0709c,PointSource,278.6806,-7.1512,1.02E-11,,,,
1FGL J1837.5-0659c,PointSource,279.3929,-6.9944,2.92E-12,,,,
1FGL J1839.1-0543c,PointSource,279.779,-5.7297,8.71E-11,,,,
1FGL J1833.5-1034,PointSource,278.3899,-10.5688,2.29E-12,,,,
1FGL J1829.6-1006c,PointSource,277.408,-10.1134,4.20E-12,,,,
1FGL J0506.9-5435,PointSource,76.7424,-54.5986,1.19E-14,,,,
1FGL J0537.7-5717,PointSource,84.4335,-57.2994,3.21E-14,,,,
1FGL J0543.8-5531,PointSource,85.9512,-55.5301,5.39E-13,,,,
1FGL J0604.2-4817,PointSource,91.0523,-48.2835,5.32E-13,,,,
1FGL J0625.9-5430,PointSource,96.4791,-54.5143,2.18E-11,,,,
1FGL J0937.7+5005,PointSource,144.4402,50.0993,8.71E-12,,,,
1FGL J0934.5+3929,PointSource,143.6283,39.4886,1.60E-12,,,,
1FGL J0920.9+4441,PointSource,140.2412,44.6888,7.45E-11,,,,
1FGL J0923.2+4121,PointSource,140.8188,41.3505,2.27E-12,,,,
1FGL J0929.4+5000,PointSource,142.3735,50.0018,9.63E-14,,,,
1FGL J0942.1+4313,PointSource,145.5303,43.225,4.09E-15,,,,
1FGL J0912.3+4127,PointSource,138.0764,41.4636,3.95E-13,,,,
1FGL J1736.3+0628,PointSource,264.0871,6.4777,5.72E-12,,,,
1FGL J1721.1+0713,PointSource,260.2881,7.2186,1.07E-12,,,,
1FGL J1722.5+1012,PointSource,260.6494,10.2144,1.53E-12,,,,
1FGL J1725.0+1151,PointSource,261.267,11.8573,7.22E-13,,,,
1FGL J1728.2+0431,PointSource,262.0707,4.5242,1.41E-11,,,,
1FGL J1713.9+0750,PointSource,258.4962,7.8439,6.30E-13,,,,
1FGL J0621.5+2508,PointSource,95.3764,25.1416,3.04E-13,,,,
1FGL J0650.7+2503,PointSource,102.6817,25.0623,5.97E-13,,,,
1FGL J0533.0+4825,PointSource,83.2695,48.4257,7.22E-12,,,,
1FGL J0607.2+4739,PointSource,91.8124,47.6657,1.26E-12,,,,
1FGL J1816.7+4509,PointSource,274.1766,45.1577,3.12E-12,,,,
1FGL J1829.8+4845,PointSource,277.472,48.7533,1.17E-12,,,,
1FGL J0608.3+2038c,PointSource,92.0848,20.6354,9.26E-12,,,,
1FGL J0617.2+2233,PointSource,94.3035,22.5651,9.35E-11,,,,
1FGL J0857.7-4345,PointSource,134.4308,-43.7602,4.19E-12,,,,
1FGL J0845.5-4327c,PointSource,131.3777,-43.4592,1.08E-12,,,,
1FGL J0854.6-4504,PointSource,133.663,-45.0668,1.51E-12,,,,
1FGL J1226.8+0638,PointSource,186.7086,6.6462,2.07E-13,,,,
1FGL J1230.8+1223,PointSource,187.7212,12.394,2.53E-12,,,,
1FGL J1542.6-5407c,PointSource,235.6674,-54.1307,3.20E-12,,,,
1FGL J1552.4-5609,PointSource,238.1243,-56.153,6.34E-13,,,,
1FGL J1554.8-5312c,PointSource,238.7013,-53.2094,2.74E-12,,,,
1FGL J1555.9-5226c,PointSource,238.9936,-52.4412,9.35E-13,,,,
1FGL J1548.9-5509c,PointSource,237.2371,-55.1648,3.30E-12,,,,
1FGL J1554.0-5345c,PointSource,238.5177,-53.7665,2.49E-12,,,,
1FGL J0212.3+5319,PointSource,33.0821,53.324,5.70E-12,,,,
1FGL J0248.7+5127,PointSource,42.1853,51.4562,6.64E-13,,,,
1FGL J0254.2+5107,PointSource,43.5685,51.1232,3.25E-12,,,,
1FGL J0307.5+4916,PointSource,46.8783,49.2698,6.08E-13,,,,
1FGL J0303.1+4711,PointSource,45.7939,47.1875,4.99E-12,,,,
1FGL J0013.7-5022,PointSource,3.4288,-50.3722,3.67E-13,,,,
1FGL J0004.7-4737,PointSource,1.1866,-47.6246,3.87E-12,,,,
1FGL J2333.0-5535,PointSource,353.2569,-55.5868,3.92E-12,,,,
1FGL J2356.0-5253,PointSource,359.0051,-52.8996,1.01E-11,,,,
1FGL J0222.6+4302,PointSource,35.6681,43.0385,1.38E-11,,,,
1FGL J0226.0+3922,PointSource,36.5178,39.3708,1.06E-11,,,,
1FGL J0230.8+4031,PointSource,37.7206,40.5317,2.42E-12,,,,
1FGL J0218.1+4232,PointSource,34.5265,42.5382,6.67E-12,,,,
1FGL J2000.9-1749,PointSource,300.2465,-17.8286,1.66E-11,,,,
1FGL J2006.6-2302,PointSource,301.6628,-23.0413,2.35E-11,,,,
1FGL J2017.9-1621,PointSource,304.4875,-16.3545,7.58E-13,,,,
1FGL J2029.0-1840,PointSource,307.2736,-18.6678,1.30E-13,,,,
1FGL J0035.1+1516,PointSource,8.7926,15.2694,9.98E-14,,,,
1FGL J0038.0+1236,PointSource,9.516,12.6108,7.94E-13,,,,
1FGL J2032.4+4057,PointSource,308.1074,40.9577,3.06E-12,,,,
1FGL J2030.9+4411,PointSource,307.7304,44.198,2.80E-11,,,,
1FGL J2032.8+3928,PointSource,308.2003,39.4701,2.17E-11,,,,
1FGL J2040.0+4157c,PointSource,310.0154,41.9533,5.86E-11,,,,
1FGL J2020.0+4049,PointSource,305.0033,40.8188,3.87E-13,,,,
1FGL J2021.5+4026,PointSource,305.3813,40.4457,2.74E-10,,,,
1FGL J2032.2+4127,PointSource,308.0542,41.4567,8.34E-12,,,,
1FGL J1428.7+4239,PointSource,217.179,42.6568,3.22E-14,,,,
1FGL J1433.9+4204,PointSource,218.4927,42.0816,5.44E-13,,,,
1FGL J1442.1+4348,PointSource,220.5301,43.8022,8.45E-14,,,,
1FGL J1503.3+4759,PointSource,225.8308,47.9899,2.20E-12,,,,
1FGL J0359.5+5410,PointSource,59.8993,54.178,2.64E-12,,,,
1FGL J0411.6+5459,PointSource,62.9086,54.9971,4.32E-14,,,,
1FGL J0352.8+5658,PointSource,58.2058,56.9677,4.03E-15,,,,
1FGL J2115.5+2937,PointSource,318.8874,29.6267,5.22E-12,,,,
1FGL J2116.1+3338,PointSource,319.0498,33.6392,1.14E-12,,,,
1FGL J2116.8+3729,PointSource,319.2113,37.4937,2.15E-12,,,,
1FGL J2128.0+3623,PointSource,322.0059,36.3966,1.40E-13,,,,
1FGL J2110.3+3820,PointSource,317.5962,38.3423,2.80E-13,,,,
1FGL J2131.7-0914,PointSource,322.9268,-9.2351,7.59E-14,,,,
1FGL J2146.6-1345,PointSource,326.672,-13.7535,1.42E-13,,,,
1FGL J2157.9-1503,PointSource,329.4849,-15.05,3.22E-12,,,,
1FGL J2150.3-1410,PointSource,327.5771,-14.1726,1.08E-13,,,,
1FGL J2159.9-1234,PointSource,329.9882,-12.5744,8.21E-13,,,,
1FGL J1747.9-2448,PointSource,266.9766,-24.8041,2.52E-11,,,,
1FGL J1754.5-2537c,PointSource,268.6423,-25.6204,2.66E-11,,,,
1FGL J1800.5-2359c,PointSource,270.1358,-23.9999,1.10E-11,,,,
1FGL J1801.3-2322c,PointSource,270.3307,-23.383,5.22E-11,,,,
1FGL J0746.5-0711,PointSource,116.6432,-7.1987,4.56E-13,,,,
1FGL J0754.4-1147,PointSource,118.6173,-11.7938,1.09E-12,,,,
1FGL J0816.4-1311,PointSource,124.1122,-13.1934,3.47E-13,,,,
1FGL J0758.6-1450,PointSource,119.6583,-14.8349,8.70E-13,,,,
1FGL J1904.4-0703,PointSource,286.115,-7.0591,1.96E-11,,,,
1FGL J1907.4-0358,PointSource,286.8529,-3.9722,2.80E-11,,,,
1FGL J1908.5-0138,PointSource,287.1323,-1.6352,2.21E-12,,,,
1FGL J1913.2-0744,PointSource,288.3027,-7.7388,8.62E-13,,,,
1FGL J0705.9-1051c,PointSource,106.4982,-10.8525,4.72E-12,,,,
1FGL J0709.0-1116,PointSource,107.2573,-11.2755,3.91E-15,,,,
1FGL J0730.3-1141,PointSource,112.5814,-11.6996,1.15E-10,,,,
1FGL J0713.7-0950,PointSource,108.4321,-9.841,7.21E-12,,,,
1FGL J0448.6+1118,PointSource,72.1674,11.3086,1.14E-11,,,,
1FGL J1656.2-3257,PointSource,254.0551,-32.9513,4.29E-12,,,,
1FGL J1701.1-3005,PointSource,255.2845,-30.0958,2.30E-12,,,,
1FGL J1717.9-3343,PointSource,259.4981,-33.7271,1.08E-11,,,,
1FGL J1715.2-3319,PointSource,258.8203,-33.3326,8.07E-13,,,,
1FGL J0009.1+5031,PointSource,2.2886,50.5201,2.99E-12,,,,
1FGL J0023.0+4453,PointSource,5.7539,44.8885,1.95E-12,,,,
1FGL J2347.1+5142,PointSource,356.7805,51.7073,4.59E-14,,,,
1FGL J0006.9+4652,PointSource,1.7463,46.8816,9.62E-12,,,,
1FGL J1959.6+2047,PointSource,299.9057,20.797,1.02E-11,,,,
1FGL J0217.9-6630,PointSource,34.4869,-66.5042,2.19E-13,,,,
1FGL J0238.3-6132,PointSource,39.5988,-61.5496,2.88E-12,,,,
1FGL J0247.4-6003,PointSource,41.8656,-60.0516,4.38E-14,,,,
1FGL J0303.4-6209,PointSource,45.8728,-62.1645,4.77E-12,,,,
1FGL J0310.1-6058,PointSource,47.5346,-60.9723,3.48E-12,,,,
1FGL J0316.3-6438,PointSource,49.0996,-64.6411,1.43E-13,,,,
1FGL J1036.2-6719,PointSource,159.0655,-67.3229,3.80E-12,,,,
1FGL J1122.9-6415,PointSource,170.727,-64.2554,1.98E-12,,,,
1FGL J1029.2-6422,PointSource,157.3024,-64.3731,3.07E-11,,,,
1FGL J0707.3+7742,PointSource,106.8325,77.7021,1.67E-12,,,,
1FGL J0721.9+7120,PointSource,110.4794,71.3448,2.83E-11,,,,
1FGL J0745.2+7438,PointSource,116.3215,74.6415,4.13E-14,,,,
1FGL J0804.7+7534,PointSource,121.1936,75.573,2.01E-13,,,,
1FGL J0639.9+7325,PointSource,99.9776,73.4209,6.13E-12,,,,
1FGL J1358.1+7646,PointSource,209.5296,76.7738,7.25E-13,,,,
1FGL J1306.0+7852,PointSource,196.5136,78.868,2.42E-13,,,,
1FGL J1412.6+7406,PointSource,213.1526,74.1123,1.28E-12,,,,
1FGL J1419.7+7731,PointSource,214.9332,77.5243,4.03E-14,,,,
1FGL J0533.0-8324,PointSource,83.2622,-83.412,3.31E-12,,,,
1FGL J1048.7+8054,PointSource,162.1889,80.9007,2.57E-11,,,,
1FGL J1224.8+8044,PointSource,186.2168,80.7428,1.04E-12,,,,
1FGL J1748.5+7004,PointSource,267.1305,70.0823,8.36E-13,,,,
1FGL J1807.0+6945,PointSource,271.7503,69.7595,1.42E-11,,,,
1FGL J1849.3+6705,PointSource,282.3425,67.0916,5.46E-11,,,,
1FGL J1810.3+1741,PointSource,272.593,17.6943,3.72E-12,,,,
1FGL J1811.0+1607,PointSource,272.7675,16.1269,1.87E-12,,,,
1FGL J1941.6+7214,PointSource,295.4218,72.2374,5.38E-12,,,,
1FGL J2004.8+7004,PointSource,301.2074,70.071,2.13E-13,,,,
1FGL J2001.9+7040,PointSource,300.489,70.6822,1.58E-13,,,,
1FGL J2009.1+7228,PointSource,302.2924,72.4692,1.86E-12,,,,
1FGL J1023.6+3937,PointSource,155.9128,39.6218,1.99E-12,,,,
1FGL J1032.7+3737,PointSource,158.1771,37.6286,7.58E-13,,,,
1FGL J1033.2+4116,PointSource,158.3196,41.2695,4.16E-12,,,,
1FGL J0032.7-5519,PointSource,8.1776,-55.3237,2.29E-12,,,,
1FGL J0049.8-5738,PointSource,12.4628,-57.6448,1.56E-12,,,,
1FGL J0258.0+2033,PointSource,44.5231,20.556,1.34E-13,,,,
1FGL J0319.7+1847,PointSource,49.927,18.7983,3.00E-14,,,,
1FGL J0322.1+2336,PointSource,50.5396,23.6107,2.97E-13,,,,
1FGL J0325.9+2219,PointSource,51.4978,22.3186,1.72E-11,,,,
1FGL J0841.4-3558,PointSource,130.358,-35.98,6.04E-14,,,,
1FGL J0849.6-3540,PointSource,132.4128,-35.6764,2.59E-12,,,,
1FGL J0904.7-3514,PointSource,136.1956,-35.2487,1.94E-11,,,,
1FGL J0929.0-3531,PointSource,142.2571,-35.5294,6.27E-13,,,,
1FGL J2047.6+1055,PointSource,311.9158,10.9316,5.67E-13,,,,
1FGL J2049.7+1003,PointSource,312.4441,10.0502,2.96E-12,,,,
1FGL J2050.1+0407,PointSource,312.5439,4.1297,3.16E-13,,,,
1FGL J2110.0+0811,PointSource,317.5001,8.1982,2.72E-12,,,,
1FGL J2110.6+0403,PointSource,317.6631,4.0592,9.58E-14,,,,
1FGL J1656.9+6017,PointSource,254.2466,60.2888,4.26E-13,,,,
1FGL J1725.5+5854,PointSource,261.3896,58.9002,1.51E-12,,,,
1FGL J1742.1+5947,PointSource,265.5444,59.798,1.16E-13,,,,
1FGL J1511.1-0545,PointSource,227.7907,-5.7594,1.98E-12,,,,
1FGL J1512.8-0906,PointSource,228.2067,-9.1025,5.93E-10,,,,
1FGL J1521.0-0350,PointSource,230.2546,-3.8369,3.71E-13,,,,
1FGL J1509.7-0843,PointSource,227.4405,-8.7306,6.78E-15,,,,
1FGL J1511.8-0513,PointSource,227.9733,-5.2303,4.75E-13,,,,
1FGL J1037.7-2820,PointSource,159.4429,-28.3473,1.00E-11,,,,
1FGL J1014.0-3146,PointSource,153.5109,-31.7698,1.29E-12,,,,
1FGL J1457.5-3540,PointSource,224.3761,-35.6753,7.75E-11,,,,
1FGL J1501.6-4204,PointSource,225.4091,-42.082,1.84E-11,,,,
1FGL J1505.1-3435,PointSource,226.2972,-34.5915,1.69E-13,,,,
1FGL J0905.5+1356,PointSource,136.3916,13.9483,2.08E-13,,,,
1FGL J0926.9+1452,PointSource,141.7397,14.8788,4.89E-12,,,,
1FGL J1820.5-3216,PointSource,275.1495,-32.2776,2.36E-12,,,,
1FGL J1823.4-3009,PointSource,275.8573,-30.1604,2.32E-12,,,,
1FGL J1823.5-3454,PointSource,275.8963,-34.9134,1.28E-13,,,,
1FGL J1835.3-3255,PointSource,278.8326,-32.9289,4.97E-13,,,,
1FGL J1043.1+2404,PointSource,160.7888,24.0766,5.47E-13,,,,
1FGL J1048.7+2335,PointSource,162.1888,23.5956,3.95E-13,,,,
1FGL J1054.5+2212,PointSource,163.6271,22.2101,3.75E-12,,,,
1FGL J1630.2+5220,PointSource,247.5683,52.3397,7.85E-13,,,,
1FGL J1637.9+4707,PointSource,249.4875,47.1291,1.49E-11,,,,
1FGL J1647.4+4948,PointSource,251.8501,49.8135,3.56E-12,,,,
1FGL J1649.6+5241,PointSource,252.4113,52.6932,7.80E-13,,,,
1FGL J0339.2-0143,PointSource,54.8036,-1.7183,8.24E-12,,,,
1FGL J1400.9-5559,PointSource,210.2271,-55.9955,1.23E-11,,,,
1FGL J1417.7-5030,PointSource,214.4399,-50.5111,4.68E-12,,,,
1FGL J0114.4+1327,PointSource,18.6013,13.4637,9.30E-12,,,,
1FGL J0955.2-3949,PointSource,148.819,-39.8272,4.67E-12,,,,
1FGL J0825.9-3216,PointSource,126.4846,-32.2754,1.44E-11,,,,
1FGL J0827.9-3738,PointSource,126.9804,-37.6492,1.82E-11,,,,
1FGL J0545.6+6022,PointSource,86.407,60.3723,2.61E-13,,,,
1FGL J0616.9+5701,PointSource,94.2407,57.0255,5.88E-13,,,,
1FGL J0645.5+6033,PointSource,101.3836,60.5659,1.07E-12,,,,
1FGL J0319.7+4130,PointSource,49.9413,41.5085,3.76E-11,,,,
1FGL J0340.4+4130,PointSource,55.1071,41.5068,1.69E-12,,,,
1FGL J0342.2+3859,PointSource,55.5642,38.9964,1.32E-13,,,,
1FGL J0310.6+3812,PointSource,47.6523,38.2075,2.74E-12,,,,
1FGL J2126.1-4603,PointSource,321.5333,-46.0583,1.08E-11,,,,
1FGL J2135.8-4957,PointSource,323.9748,-49.9579,7.54E-12,,,,
1FGL J2204.3-5017,PointSource,331.0799,-50.2961,1.04E-11,,,,
1FGL J0742.1-4849c,PointSource,115.5353,-48.8332,2.38E-11,,,,
1FGL J0802.4-5622,PointSource,120.6159,-56.3691,8.59E-12,,,,
1FGL J0845.0-5459,PointSource,131.267,-54.9891,1.17E-12,,,,
1FGL J1916.9-3028,PointSource,289.2351,-30.4697,1.28E-13,,,,
1FGL J1925.2-2919,PointSource,291.3221,-29.3172,4.88E-12,,,,
1FGL J1904.4-2725,PointSource,286.1028,-27.4265,4.43E-13,,,,
1FGL J1307.3-6701,PointSource,196.8471,-67.0235,5.73E-12,,,,
1FGL J1330.7-7006,PointSource,202.6819,-70.1083,4.65E-12,,,,
1FGL J1240.3-7154,PointSource,190.0982,-71.9047,4.36E-13,,,,
1FGL J0005.7+3815,PointSource,1.4364,38.2594,2.41E-11,,,,
1FGL J2343.6+3437,PointSource,355.904,34.6251,2.61E-14,,,,
1FGL J2356.1+4037,PointSource,359.0494,40.6321,8.42E-14,,,,
1FGL J1338.9+1153,PointSource,204.7342,11.8839,3.66E-13,,,,
1FGL J1346.0+0703,PointSource,206.5027,7.0628,5.66E-13,,,,
1FGL J1351.5+1115,PointSource,207.8805,11.256,1.50E-14,,,,
1FGL J0038.6+6306,PointSource,9.6692,63.1082,1.64E-12,,,,
1FGL J0257.8-1204,PointSource,44.4546,-12.0679,2.77E-12,,,,
