RA,Dec,l,b,x,y
256.9083333,-35.38333333,,,,
257.5291667,-34.78333333,,,,
257.9291667,-34.66666667,,,,
258.6041667,-34.76666667,,,,
259.8291667,-34.13333333,,,,
260.825,-34.31666667,,,,
261.375,-34.51666667,,,,
261.8125,-34.38333333,,,,
262.5125,-34.7,,,,
262.3541667,-35.96666667,,,,
261.2833333,-36.33333333,,,,
259.5916667,-36.43333333,,,,
258.9833333,-36.2,,,,
258.6875,-35.61666667,,,,
258.0875,-35.4,,,,
257.325,-35.71666667,,,,
256.9083333,-35.38333333,,,,
