name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
FL8Y J1958.3-3010,PointSource,299.5793,-30.1821,,5.34373E-14,,,,
FL8Y J2000.3-2930,PointSource,300.0782,-29.5093,,1.05015E-12,,,,
FL8Y J2007.1-3157,PointSource,301.7949,-31.9589,,2.40562E-13,,,,
FL8Y J1907.2+0126,PointSource,286.8226,1.4425,,2.84808E-14,,,,
FL8Y J1412.1-6631,PointSource,213.0451,-66.5322,,4.79433E-13,,,,
FL8Y J1413.2-6519,PointSource,213.3073,-65.3323,,2.17333E-14,,,,
FL8Y J1415.5-6459,PointSource,213.8997,-64.9888,,1.44438E-13,,,,
FL8Y J1424.8-6808,PointSource,216.2234,-68.1477,,5.96185E-12,,,,
FL8Y J1431.8-6634,PointSource,217.9512,-66.5682,,1.34263E-12,,,,
FL8Y J1639.3-5146,PointSource,249.8478,-51.7713,,2.01672E-12,,,,
FL8Y J1641.3-5317,PointSource,250.3304,-53.297,,2.74598E-12,,,,
FL8Y J1645.2-5218,PointSource,251.303,-52.3072,,7.68261E-13,,,,
FL8Y J1835.6-3258,PointSource,278.9245,-32.9764,,5.31153E-13,,,,
FL8Y J1838.1-3351,PointSource,279.5378,-33.8609,,6.55752E-14,,,,
FL8Y J1838.9-3456,PointSource,279.7416,-34.9496,,2.50657E-13,,,,
FL8Y J1844.8-3248,PointSource,281.2154,-32.8043,,3.55538E-15,,,,
FL8Y J1850.5-3125,PointSource,282.6411,-31.4308,,7.33146E-13,,,,
FL8Y J1447.5-5757,PointSource,221.897,-57.9612,,7.81276E-12,,,,
FL8Y J1503.7-5801,PointSource,225.9338,-58.0292,,1.63706E-12,,,,
FL8Y J1506.4-5709,PointSource,226.6043,-57.1545,,3.46866E-13,,,,
FL8Y J1900.6+0112,PointSource,285.1627,1.2034,,3.17765E-12,,,,
FL8Y J1018.9-5856,PointSource,154.7487,-58.9442,,8.25174E-12,,,,
FL8Y J1016.3-5857,PointSource,154.0984,-58.9632,,2.36384E-12,,,,
FL8Y J0225.5-5530,PointSource,36.39,-55.508,,1.75143E-14,,,,
FL8Y J0228.3-5547,PointSource,37.0983,-55.7872,,3.11331E-12,,,,
FL8Y J0231.2-5754,PointSource,37.812,-57.9094,,3.51544E-14,,,,
FL8Y J0253.2-5442,PointSource,43.3018,-54.7107,,8.18758E-13,,,,
FL8Y J1804.7-2144e,DiffuseSource,271.191,-21.735,0.378,5.66419E-14,,,,
FL8Y J1805.6-2136e,DiffuseSource,271.4083,-21.6117,0.37,1.32018E-13,,,,
FL8Y J1806.1-2126,PointSource,271.5475,-21.4493,,1.3461E-12,,,,
FL8Y J1803.1-2148,PointSource,270.7901,-21.8164,,1.79384E-12,,,,
FL8Y J0907.7-5153,PointSource,136.9398,-51.8933,,5.46E-12,,,,
FL8Y J0917.8-5410,PointSource,139.4668,-54.1799,,5.12277E-14,,,,
FL8Y J0910.9-5047,PointSource,137.7311,-50.7926,,1.1762E-12,,,,
FL8Y J0019.4-8152,PointSource,4.8598,-81.8772,,1.68238E-13,,,,
FL8Y J1845.7-0830,PointSource,281.4493,-8.515,,2.24337E-13,,,,
FL8Y J1850.1-0758,PointSource,282.5462,-7.969,,9.9063E-16,,,,
FL8Y J0309.4-4000,PointSource,47.3665,-40.0158,,1.05413E-14,,,,
FL8Y J0334.2-4008,PointSource,53.5569,-40.1439,,1.37903E-11,,,,
FL8Y J2236.6+3706,PointSource,339.1688,37.108,,6.00232E-15,,,,
FL8Y J2250.0+3825,PointSource,342.515,38.4217,,6.18146E-14,,,,
FL8Y J1921.2+1930,PointSource,290.3044,19.5145,,9.12493E-13,,,,
FL8Y J1922.3+2314,PointSource,290.5797,23.2398,,1.52061E-14,,,,
FL8Y J1925.0+2256,PointSource,291.2517,22.9367,,5.87828E-13,,,,
FL8Y J1932.1+2221,PointSource,293.0499,22.3529,,2.57492E-13,,,,
FL8Y J1130.8+1017,PointSource,172.7114,10.2871,,1.78688E-12,,,,
FL8Y J1137.2+0534,PointSource,174.3209,5.5819,,1.01592E-12,,,,
FL8Y J1151.3+0958,PointSource,177.8449,9.9683,,3.55554E-13,,,,
FL8Y J1158.8+0818,PointSource,179.7244,8.3029,,8.02716E-15,,,,
FL8Y J1158.9+0939,PointSource,179.7371,9.6635,,2.20753E-13,,,,
FL8Y J1441.3-1934,PointSource,220.3448,-19.5739,,9.28095E-15,,,,
FL8Y J1446.9-1830,PointSource,221.7296,-18.5132,,5.65754E-15,,,,
FL8Y J1458.8-2120,PointSource,224.7027,-21.3391,,2.93334E-13,,,,
FL8Y J1445.1-1954,PointSource,221.299,-19.9051,,3.09393E-14,,,,
FL8Y J0404.1-1715,PointSource,61.0475,-17.2605,,4.85989E-15,,,,
FL8Y J0404.3-1558,PointSource,61.0841,-15.9752,,7.67472E-14,,,,
FL8Y J0416.5-1852,PointSource,64.1367,-18.8687,,2.27553E-12,,,,
