name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
3FGL J1727.7-2637,PointSource,261.9458,-26.6251,,2.46E-11,,,,
3FGL J1729.7-2408,PointSource,262.4348,-24.1371,,1.66E-11,,,,
3FGL J2201.7+5047,PointSource,330.4337,50.7997,,3.06E-11,,,,
3FGL J2215.6+5134,PointSource,333.9115,51.5773,,1.52E-12,,,,
3FGL J1742.6-3321,PointSource,265.665,-33.3562,,5.36E-12,,,,
3FGL J1749.6-3133,PointSource,267.4221,-31.5524,,3.88E-12,,,,
3FGL J1754.0-3321,PointSource,268.5181,-33.3634,,1.07E-12,,,,
3FGL J1746.8-3240,PointSource,266.7057,-32.6688,,1.36E-11,,,,
3FGL J1745.1-3011,PointSource,266.2971,-30.1994,,1.41E-11,,,,
3FGL J1747.2-2958,PointSource,266.8191,-29.982,,1.33E-11,,,,
3FGL J1733.5-3941,PointSource,263.3846,-39.6994,,1.70E-13,,,,
3FGL J1747.0-3506,PointSource,266.7561,-35.1072,,1.64E-11,,,,
3FGL J1750.2-3704,PointSource,267.5641,-37.0672,,1.51E-12,,,,
3FGL J1747.0-2828,PointSource,266.7749,-28.4819,,6.23E-11,,,,
3FGL J1748.3-2815c,PointSource,267.0925,-28.2589,,8.76E-13,,,,
3FGL J1754.0-2930,PointSource,268.5004,-29.5059,,8.05E-12,,,,
3FGL J1757.8-3126,PointSource,269.4697,-31.4458,,1.01E-12,,,,
3FGL J1800.0-2955,PointSource,270.0228,-29.9262,,3.32E-12,,,,
3FGL J1802.4-3043,PointSource,270.6137,-30.7242,,8.49E-14,,,,
3FGL J1818.7-1528,PointSource,274.6959,-15.4698,,9.18E-12,,,,
3FGL J1821.6-1436c,PointSource,275.417,-14.6123,,5.37E-13,,,,
3FGL J1820.3-1529c,PointSource,275.0998,-15.4891,,1.26E-13,,,,
3FGL J2012.0+4629,PointSource,303.0024,46.4965,,8.24E-13,,,,
3FGL J2014.5+5246,PointSource,303.6487,52.769,,1.59E-13,,,,
3FGL J1957.7+5034,PointSource,299.4342,50.5702,,3.19E-11,,,,
3FGL J1844.7-1224,PointSource,281.182,-12.4132,,1.20E-13,,,,
3FGL J1849.3-1645,PointSource,282.3349,-16.7642,,7.21E-15,,,,
3FGL J1856.1-1217,PointSource,284.0323,-12.2999,,2.95E-12,,,,
3FGL J1112.0-6135,PointSource,168.0168,-61.5842,,5.52E-12,,,,
3FGL J1111.9-6038,PointSource,167.9935,-60.6411,,1.27E-12,,,,
3FGL J1111.9-6058,PointSource,167.9784,-60.9689,,3.91E-13,,,,
3FGL J1119.1-6127,PointSource,169.7942,-61.4662,,7.37E-12,,,,
3FGL J1901.5-0126,PointSource,285.3994,-1.4481,,1.28E-11,,,,
3FGL J1903.9+0052,PointSource,285.998,0.8696,,4.73E-14,,,,
3FGL J1908.8-0130,PointSource,287.2021,-1.5166,,4.93E-13,,,,
3FGL J0503.4+4522,PointSource,75.8646,45.3746,,8.96E-13,,,,
3FGL J0517.4+4540,PointSource,79.3735,45.6679,,7.68E-13,,,,
3FGL J0526.0+4253,PointSource,81.5231,42.889,,2.25E-12,,,,
3FGL J0533.2+4822,PointSource,83.3066,48.378,,1.49E-11,,,,
3FGL J1923.2+1408e,DiffuseSource,290.818,14.145,0.375,2.52E-11,,,,
3FGL J1919.9+1407,PointSource,289.9807,14.1179,,2.20E-12,,,,
3FGL J1921.2+1506,PointSource,290.3076,15.1095,,2.82E-11,,,,
3FGL J1925.7+1228,PointSource,291.4285,12.4672,,4.32E-12,,,,
3FGL J1944.1+3919,PointSource,296.0394,39.3246,,1.20E-13,,,,
3FGL J1953.3+3847,PointSource,298.3291,38.798,,1.31E-12,,,,
3FGL J1958.6+3844,PointSource,299.6743,38.7454,,1.63E-12,,,,
3FGL J0003.5+5721,PointSource,0.8903,57.3597,,1.09E-13,,,,
3FGL J0009.3+5030,PointSource,2.3337,50.5104,,1.10E-12,,,,
3FGL J0014.7+5802,PointSource,3.6827,58.0424,,1.24E-14,,,,
3FGL J0015.7+5552,PointSource,3.9408,55.8747,,4.88E-14,,,,
3FGL J2347.0+5142,PointSource,356.7642,51.7078,,2.75E-13,,,,
3FGL J2347.9+5436,PointSource,356.9834,54.6054,,3.08E-15,,,,
3FGL J1910.8+2855,PointSource,287.7247,28.9291,,3.06E-15,,,,
3FGL J1924.9+2817,PointSource,291.2367,28.2998,,1.74E-14,,,,
3FGL J0127.4+5433,PointSource,21.8692,54.5546,,8.94E-13,,,,
3FGL J0127.5+5634,PointSource,21.8942,56.5686,,2.03E-12,,,,
