name,RA,Dec,l,b,x,y
2FAV?J0832+04.4,128,4.483333333,,,,
2FAV?J0601-70.5,90.35,-70.58333333,,,,
2FAV?J2144-33.9,326.225,-33.95,,,,
2FAV?J2336-41.2,354.175,-41.23333333,,,,
2FAV?J1312+48.4,198.175,48.48333333,,,,
2FAV?J1709+43.2,257.4,43.28333333,,,,
2FAV?J0108+01.5,17.15,1.583333333,,,,
2FAV?J1107-44.9,166.825,-44.98333333,,,,
2FAV?J0325+22.3,51.4,22.33333333,,,,
2FAV?J0217+08.6,34.3,8.616666667,,,,
2FAV?J2201-83.6,330.475,-83.66666667,,,,
2FAV?J0423-01.3,65.85,-1.366666667,,,,
2FAV?J1637+47.2,249.425,47.28333333,,,,
2FAV?J0218+01.8,34.5,1.833333333,,,,
2FAV?J0635-75.4,98.95,-75.4,,,,
2FAV?J2345-15.9,356.3,-15.91666667,,,,
2FAV?J0522-36.4,80.75,-36.45,,,,
2FAV?J0245-46.8,41.475,-46.83333333,,,,
2FAV?J0109+61.5,17.4,61.56666667,,,,
2FAV?J1223+02.5,185.9,2.583333333,,,,
2FAV?J0433-60.5,68.4,-60.5,,,,
2FAV?J1330-70.0,202.6,-70.03333333,,,,
2FAV?J2102+45.7,315.525,45.78333333,,,,
2FAV?J1703-62.2,255.95,-62.23333333,,,,
2FAV?J1209+54.6,182.275,54.68333333,,,,
2FAV?J1513-32.3,228.25,-32.33333333,,,,
2FAV?J0538-44.0,84.7,-44.08333333,,,,
2FAV?J0449+11.3,72.35,11.31666667,,,,
2FAV?J0538-44.6,84.55,-44.63333333,,,,
2FAV?J2147-75.6,326.85,-75.63333333,,,,
2FAV?J1625-25.4,246.45,-25.46666667,,,,
2FAV?J2236+18.0,339.2,18.06666667,,,,
2FAV?J0111+22.7,18,22.73333333,,,,
2FAV?J0850+48.9,132.5,48.91666667,,,,
2FAV?J0623-33.7,95.9,-33.8,,,,
2FAV?J1739+49.9,264.85,49.95,,,,
2FAV?J1033+60.8,158.475,60.86666667,,,,
2FAV?J0956+25.3,149.2,25.33333333,,,,
2FAV?J1936+53.7,294.175,53.78333333,,,,
2FAV?J0334-37.4,53.575,-37.46666667,,,,
2FAV?J0303-24.1,45.85,-24.11666667,,,,
2FAV?J0032-55.2,8.125,-55.28333333,,,,
2FAV?J1657+48.1,254.5,48.16666667,,,,
2FAV?J2229-08.5,337.4,-8.583333333,,,,
2FAV?J1957-38.7,299.45,-38.76666667,,,,
2FAV?J0236-61.6,39.225,-61.61666667,,,,
2FAV?J1216+22.7,184,22.71666667,,,,
2FAV?J0302-72.0,45.55,-72.05,,,,
2FAV?J1045-29.5,161.4,-29.51666667,,,,
2FAV?J1159+29.2,179.875,29.23333333,,,,
2FAV?J0909+01.3,137.35,1.383333333,,,,
2FAV?J1213+22.2,183.45,22.26666667,,,,
2FAV?J0540-54.4,85.075,-54.46666667,,,,
2FAV?J2016+52.2,304.025,52.28333333,,,,
2FAV?J0622+33.4,95.7,33.43333333,,,,
2FAV?J0532-48.4,83,-48.46666667,,,,
2FAV?J0319+41.5,49.95,41.51666667,,,,
2FAV?J0334-40.1,53.6,-40.15,,,,
2FAV?J0309+10.5,47.25,10.5,,,,
2FAV?J1825-52.5,276.3,-52.51666667,,,,
2FAV?J0204+15.2,31.225,15.2,,,,
2FAV?J2329-49.9,352.35,-49.93333333,,,,
2FAV?J2311+34.4,347.75,34.41666667,,,,
2FAV?J0433+29.1,68.425,29.11666667,,,,
2FAV?J1733-13.0,263.25,-13.08333333,,,,
2FAV?J2236-39.3,339.2,-39.35,,,,
2FAV?J1316-33.6,199.05,-33.66666667,,,,
2FAV?J1758-48.2,269.725,-48.28333333,,,,
2FAV?J0534+21.9,83.625,21.96666667,,,,
2FAV?J0739+01.6,114.8,1.616666667,,,,
2FAV?J1159-22.4,179.775,-22.46666667,,,,
2FAV?J1833-21.0,278.4,-21.05,,,,
2FAV?J1350+30.5,207.7,30.58333333,,,,
2FAV?J1913-36.4,288.35,-36.48333333,,,,
2FAV?J2321+32.0,350.475,32.06666667,,,,
2FAV?J1211-27.5,182.975,-27.58333333,,,,
2FAV?J0203+30.7,30.925,30.73333333,,,,
2FAV?J0339-01.7,54.85,-1.783333333,,,,
2FAV?J0224-26.0,36.2,-26.01666667,,,,
2FAV?J2130-42.6,322.55,-42.6,,,,
2FAV?J1259-65.4,194.8,-65.46666667,,,,
2FAV?J1024-32.5,156.05,-32.56666667,,,,
2FAV?J0211+10.8,32.75,10.83333333,,,,
2FAV?J0211+11.6,32.775,11.65,,,,
2FAV?J2304+16.1,346.025,16.18333333,,,,
2FAV?J0742+54.7,115.675,54.71666667,,,,
2FAV?J0706+77.7,106.65,77.71666667,,,,
2FAV?J1748+70.1,267.1,70.11666667,,,,
2FAV?J1127-18.9,171.75,-18.96666667,,,,
2FAV?J0536+09.7,84.15,9.783333333,,,,
